标题,来源,发布时间,简介,链接
天气,深圳晚报,3小时前,"今日天气 多云,有短时阵雨或雷阵雨;气温26℃~32℃;南风3级;相对湿度75%~95% 空气质量指数(AQI):30~50 PM2.5日均值:15微克/立方米 ...",http://wb.sznews.com/PC/content/201906/05/content_666184.html
今日天气,中国天气网,2019年05月07日,转载请注明“来源:中国天气网”。【收藏此页】【打印】 相关新闻焦点图片 高清图集  生活旅游 气候科普  夏天不注意这些 小心疾病缠上你! 手把手教你做出好喝又...,http://www.weather.com.cn/tianjin/tqyw/05/3187319.shtml
5月6日全国空气质量预报:西北地区多沙尘天气,东方网,2019年05月06日,"未来一周,新疆南疆盆地、青海柴达木盆地、甘肃西部、内蒙古西部等地的部分地区有扬沙或浮尘天气,全国其余大部地区大气扩散条件较好。",http://tianqi.eastday.com/news/56510.html
天气预报,东方网,2019年04月27日,"广西东北部等地的部分地区出现短时强降水,小时雨强20-50毫米,局地达80毫米以上;广东北部、福建南部等地的局地出现8-10级雷暴大风,甘肃东部等地局地出现冰雹天气...",http://tianqi.eastday.com/news/56174.html
全国天气:北方气温频繁波动 南方成降雨中心,东方网,2019年04月23日,"今天(23日)起,华南一带雨势减弱,降雨重心北推至贵州到江南一带,暴雨点分散,多短时强对流天气,并且一直到4月底前,江南华南都是雨水频繁。在北方,受冷空气影响,...",http://tianqi.eastday.com/news/55969.html
中国天气iPhone版查看全国天气预报的方法,太平洋电脑网,2019年04月22日,"打开中国天气客户端,进入客户端后用户可以为了方便定位,先允许访问位置权限,然后可以在选择城市页面中选取用户的当前城市,选择完成后就会进入该城市的天气情况。",https://g.pconline.com.cn/1250/12502584.html
全国天气:南方降水减弱 长江以北逐渐降温,东方网,2019年04月22日,"预计今(22日)明天,南方雨势整体减弱,降水重心北抬至江南一带。4月底前,江南、华南雨水频繁,并多伴随出现强对流天气,城乡积涝、山洪、山体滑坡、泥石流等次生灾害...",http://tianqi.eastday.com/news/55909.html
未来三天全国天气预报: 华南等地有强降雨和强对流,东方网,2019年04月21日,"等地的部分地区有大雨,其中广西北部、广东中部和东部、福建南部等地的局部地区有暴雨(50～80毫米),上述部分地区伴有短时强降水、雷暴大风或冰雹等强对流天气(见图...",http://tianqi.eastday.com/news/55883.html
[早安山东]天气情况20190417,央视网,2019年04月17日,[早安山东]天气情况20190417 发布时间:2019年04月17日 08:34 | 来源:央视网 | 手机看新闻 | 手机看视频 请点此安装最新Flash编辑:刘一 ...,http://news.cctv.com/2019/04/17/VIDEtFFvtWXUuAyK3HevQtNk190417.shtml
[福州新闻]天气预报,央视网,2019年04月14日,[福州新闻]天气预报 发布时间:2019年04月14日 20:56 | 来源:央视网 | 手机看新闻 | 手机看视频 编辑:刘一 责任编辑: 中央电视台网站|联系CCTV|关于CCTV....,http://news.cctv.com/2019/04/14/VIDEpDbjVb6m0E9Q5QNaAfc2190414.shtml
全国雾霾天气预报:4月14日广东中西部有大雾天气,东方网,2019年04月14日,"全国雾霾天气预报:14日至16日,受冷空气大风影响,新疆南疆盆地、内蒙古中西部、宁夏、陕西北部等地的部分地区有扬沙或浮尘天气。另外,14日早晨至上午,广东中西部...",http://tianqi.eastday.com/news/55602.html
